iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
196	233	286	233	340	233	286	340
197	233	286	233	340	233	286	340
198	233	286	233	340	233	286	340
199	233	286	233	340	233	286	340
200	233	286	233	340	233	286	340
201	233	286	233	340	233	286	340
202	233	285	233	340	233	285	340
203	233	284	233	340	233	284	340
204	233	283	233	340	233	283	340
205	233	283	233	340	233	283	340
206	233	283	233	340	233	283	340
207	233	283	233	340	233	283	340
208	233	283	233	340	233	283	340
209	233	283	233	340	233	283	340
210	233	283	233	340	233	283	340
211	233	282	233	340	233	282	340
212	233	282	233	340	233	282	340
213	233	283	233	340	233	283	340
214	233	282	233	340	233	282	340
215	234	283	234	340	234	283	340
216	234	283	234	340	234	283	340
217	234	283	234	340	234	283	340
218	234	283	234	340	234	283	340
219	234	283	234	340	234	283	340
220	234	283	234	340	234	283	340
221	234	283	234	340	234	283	340
222	234	283	234	340	234	283	340
223	234	283	234	340	234	283	340
224	234	283	234	340	234	283	340
225	234	283	234	340	234	283	340
226	235	284	235	340	235	284	340
227	235	284	235	340	235	284	340
228	234	283	234	340	234	283	340
229	234	283	234	340	234	283	340
230	235	284	235	340	235	284	340
231	235	284	235	340	235	284	340
232	235	284	235	340	235	284	340
233	235	284	235	340	235	284	340
234	235	284	235	340	235	284	340
235	235	284	235	340	235	284	340
236	235	284	235	340	235	284	340
237	235	284	235	340	235	284	340
238	236	285	236	340	236	285	340
239	236	286	236	340	236	286	340
240	236	286	236	340	236	286	340
241	236	286	236	340	236	286	340
242	236	286	236	340	236	286	340
243	236	286	236	340	236	286	340
244	236	286	236	340	236	286	340
245	236	286	236	340	236	286	340
246	236	286	236	340	236	286	340
247	236	286	236	340	236	286	340
248	236	286	236	340	236	286	340
249	236	286	236	340	236	286	340
250	236	286	236	340	236	286	340
251	236	286	236	340	236	286	340
252	236	286	236	340	236	286	340
253	236	286	236	340	236	286	340
254	236	286	236	340	236	286	340
255	236	286	236	340	236	286	340
256	236	285	236	340	236	285	340
257	236	285	236	340	236	285	340
258	236	285	236	340	236	285	340
259	236	285	236	340	236	285	340
260	236	285	236	340	236	285	340
261	236	285	236	340	236	285	340
262	236	285	236	340	236	285	340
263	236	285	236	340	236	285	340
264	236	285	236	340	236	285	340
265	236	285	236	340	236	285	340
266	235	284	235	340	235	284	340
267	235	284	235	340	235	284	340
268	235	284	235	340	235	284	340
269	235	284	235	340	235	284	340
270	235	284	235	340	235	284	340
271	235	284	235	340	235	284	340
272	235	284	235	340	235	284	340
273	235	284	235	340	235	284	340
274	235	284	235	340	235	284	340
275	235	284	235	340	235	284	340
276	235	284	235	340	235	284	340
277	235	284	235	340	235	284	340
278	235	284	235	340	235	284	340
279	235	284	235	340	235	284	340
280	235	284	235	340	235	284	340
281	235	284	235	340	235	284	340
282	235	284	235	340	235	284	340
283	235	284	235	340	235	284	340
284	235	284	235	340	235	284	340
285	235	284	235	340	235	284	340
286	235	284	235	340	235	284	340
287	235	284	235	340	235	284	340
288	236	285	236	340	236	285	340
289	237	286	237	340	237	286	340
290	236	285	236	340	236	285	340
291	236	285	236	340	236	285	340
292	236	285	236	340	236	285	340
293	236	285	236	340	236	285	340
294	236	285	236	340	236	285	340
295	236	285	236	340	236	285	340
296	236	285	236	340	236	285	340
297	236	285	236	340	236	285	340
298	236	285	236	340	236	285	340
299	236	285	236	340	236	285	340
300	236	285	236	340	236	285	340
301	236	285	236	340	236	285	340
302	236	285	236	340	236	285	340
303	236	285	236	340	236	285	340
304	236	285	236	340	236	285	340
305	236	285	236	340	236	285	340
306	236	285	236	340	236	285	340
307	236	285	236	340	236	285	340
308	236	285	236	340	236	285	340
309	236	285	236	340	236	285	340
310	236	285	236	340	236	285	340
311	236	285	236	340	236	285	340
312	236	285	236	340	236	285	340
313	236	285	236	340	236	285	340
314	236	285	236	340	236	285	340
315	236	285	236	340	236	285	340
316	236	285	236	340	236	285	340
317	236	285	236	340	236	285	340
318	236	285	236	340	236	285	340
319	236	285	236	340	236	285	340
320	236	285	236	340	236	285	340
321	236	285	236	340	236	285	340
322	236	285	236	340	236	285	340
323	236	285	236	340	236	285	340
324	236	285	236	340	236	285	340
325	236	285	236	340	236	285	340
326	236	285	236	340	236	285	340
327	236	285	236	340	236	285	340
328	236	285	236	340	236	285	340
329	236	285	236	340	236	285	340
330	236	285	236	340	236	285	340
331	236	285	236	340	236	285	340
332	236	285	236	340	236	285	340
333	236	285	236	340	236	285	340
334	236	286	236	340	236	286	340
335	236	286	236	340	236	286	340
336	236	286	236	340	236	286	340
337	236	286	236	340	236	286	340
338	236	286	236	340	236	286	340
339	236	286	236	340	236	286	340
340	236	286	236	340	236	286	340
341	236	286	236	340	236	286	340
342	236	286	236	340	236	286	340
343	236	286	236	340	236	286	340
344	236	286	236	340	236	286	340
345	236	286	236	340	236	286	340
346	236	286	236	340	236	286	340
347	236	286	236	340	236	286	340
348	236	286	236	340	236	286	340
349	236	286	236	340	236	286	340
350	236	286	236	340	236	286	340
351	236	286	236	340	236	286	340
352	236	286	236	340	236	286	340
353	236	286	236	340	236	286	340
354	236	286	236	340	236	286	340
355	236	286	236	340	236	286	340
356	236	286	236	340	236	286	340
357	236	286	236	340	236	286	340
358	236	286	236	340	236	286	340
359	236	286	236	340	236	286	340
360	236	286	236	340	236	286	340
361	236	286	236	340	236	286	340
362	236	286	236	340	236	286	340
363	237	287	237	340	237	287	340
364	237	287	237	340	237	287	340
365	237	287	237	340	237	287	340
366	237	287	237	340	237	287	340
367	237	287	237	340	237	287	340
368	239	289	239	340	239	289	340
369	238	288	238	340	238	288	340
370	238	288	238	340	238	288	340
371	238	288	238	340	238	288	340
372	238	288	238	340	238	288	340
373	238	288	238	340	238	288	340
374	238	288	238	340	238	288	340
375	238	288	238	340	238	288	340
376	238	288	238	340	238	288	340
377	238	288	238	340	238	288	340
378	239	289	239	340	239	289	340
379	239	289	239	340	239	289	340
380	239	289	239	340	239	289	340
381	239	289	239	340	239	289	340
382	239	289	239	340	239	289	340
383	239	289	239	340	239	289	340
384	239	289	239	340	239	289	340
385	239	289	239	340	239	289	340
386	239	289	239	340	239	289	340
387	239	289	239	340	239	289	340
388	239	289	239	340	239	289	340
389	239	289	239	340	239	289	340
390	239	289	239	340	239	289	340
391	239	289	239	340	239	289	340
392	239	289	239	340	239	289	340
393	239	289	239	340	239	289	340
394	239	289	239	340	239	289	340
395	239	289	239	340	239	289	340
396	239	289	239	340	239	289	340
397	239	289	239	340	239	289	340
